Дата,Артикул,Наименование товара,Цена,Цена со скидкой,Количество продаж в штуках,Комментарий наименования акции
01.01.2023,SKIN003,"Маска для лица ""Увлажнение""",1900,,6,
01.01.2023,LIP001,"Матовая помада ""Сияние""",1200,,24,
02.01.2023,FACE002,"Пудра ""Бархат""",1600,,25,
02.01.2023,FACE003,"Консилер ""Идеал""",1300,1209,43,Праздничная скидка
03.01.2023,FACE004,"Бронзер ""Летний загар""",1750,,21,
04.01.2023,BODY001,"Крем для тела ""Нежность""",1800,,5,
04.01.2023,FACE003,"Консилер ""Идеал""",1300,,5,
04.01.2023,EYE004,"Подводка для глаз ""Кошачий взгляд""",1100,,11,
04.01.2023,LIP003,"Карандаш для губ ""Контур""",680,,5,
05.01.2023,FACE004,"Бронзер ""Летний загар""",1750,,7,
05.01.2023,SKIN001,"Крем для лица ""Питание""",2500,2075,17,Специальное предложение
05.01.2023,EYE003,"Карандаш для глаз ""Экспрессия""",750,,19,
06.01.2023,BODY001,"Крем для тела ""Нежность""",1800,,4,
06.01.2023,EYE003,"Карандаш для глаз ""Экспрессия""",750,,18,
07.01.2023,EYE003,"Карандаш для глаз ""Экспрессия""",750,,20,
07.01.2023,BODY001,"Крем для тела ""Нежность""",1800,,17,
08.01.2023,EYE003,"Карандаш для глаз ""Экспрессия""",750,,11,
08.01.2023,FACE001,"Тональный крем ""Безупречность""",2100,,20,
09.01.2023,FACE003,"Консилер ""Идеал""",1300,,11,
09.01.2023,BODY003,"Масло для тела ""Питание""",2200,,17,
10.01.2023,SKIN003,"Маска для лица ""Увлажнение""",1900,,23,
10.01.2023,FACE003,"Консилер ""Идеал""",1300,1222,14,Весенняя акция
11.01.2023,FACE005,"Румяна ""Свежесть""",1400,,14,
11.01.2023,LIP003,"Карандаш для губ ""Контур""",680,,3,
11.01.2023,LIP003,"Карандаш для губ ""Контур""",680,,8,
11.01.2023,SKIN002,"Сыворотка ""Молодость""",3200,2816,50,Летняя распродажа
11.01.2023,FACE003,"Консилер ""Идеал""",1300,,4,
12.01.2023,BODY001,"Крем для тела ""Нежность""",1800,,14,
12.01.2023,BODY003,"Масло для тела ""Питание""",2200,,4,
13.01.2023,EYE004,"Подводка для глаз ""Кошачий взгляд""",1100,,9,
13.01.2023,FACE005,"Румяна ""Свежесть""",1400,,8,
13.01.2023,SKIN001,"Крем для лица ""Питание""",2500,2125,25,Акция недели
2024-03-01,SKIN001,Крем для лица,1500,1200,10,Весенняя распродажа
2024-03-01,SKIN002,Сыворотка,2000,1600,8,Весенняя распродажа
2024-03-01,FACE001,Тональный крем,1800,0,15,
2024-03-01,FACE002,Пудра,1600,1280,12,Весенняя распродажа
2024-03-01,FACE003,Консилер,1300,1040,20,Весенняя распродажа
2024-03-01,LIP001,Помада,1200,960,25,Весенняя распродажа
2024-03-01,LIP002,Блеск для губ,900,0,18,
2024-03-01,EYE001,Тушь для ресниц,1400,1120,30,Весенняя распродажа
2024-03-01,EYE002,Тени для век,1700,1360,15,Весенняя распродажа
2024-03-01,NAIL001,Лак для ногтей,800,0,22, 
